COMPANY NAME,BRANCH/LOCATION NAME,STATE,REGION,WAN/INTERNET CLIENT,BANDWIDTH SUBSCRIPTION (Mbps),CUSTOMER STATUS,CLIENT
Evangel TV,Evangel TV Enugu,Enugu,South East,INTERNET,6,Active,Corporate
4Tech,Agbara,Lagos,South West,INTERNET,4,Diconnected,Corporate
Acuity GRA Ikeja,Acuity GRA Ikeja,Lagos,South West,INTERNET,5,Active,Corporate
Aero,Aero PH,Rivers,South South,WAN,2,Active,Corporate
Alliance Global,Alliance Global Bauchi - Board of Internal Revenue Bauchi - TORYIMA NETWORK,Bauchi,North East,INTERNET,10,Active,Corporate
Alliance Global,Alliance Global Ph,Rivers,South South,INTERNET,8,Active,Corporate
Anchor HMO,ANCOR HMO Lekki,Lagos,South West,INTERNET,10,Active,Corporate
Arvinet ,Arvinet Gbagada,Lagos,South West,INTERNET,2,Active,Corporate
Arbico,Arbico Ibeju Lekki,Lagos,South West,INTERNET,6,Active,Corporate
Arbico,Arbico Mamu(Quarry site),Ogun,South West,INTERNET,50,Active,Corporate
Astramix,Astramix Yenagoa,Bayelsa,South South,INTERNET,20,Disconnected,Corporate
Astramix,NDU Amassomma,Bayelsa,South South,INTERNET,45,Disconnected,Corporate
Astramix,Astramix Benin,Delta,South South,INTERNET,40,Disconnected,Corporate
Baobab,Microcred Onitsha,Anambra,South East,INTERNET,8,Active,Corporate
Baobab,Baobab MF Bank Benin,Edo,South South,INTERNET,8,Active,Corporate
Baobab,Baobab Kaduna,Kaduna,North West,INTERNET,8,Active,Corporate
Baobab,Microcred Yaba,Lagos,South West,INTERNET,8,Disconnected,Corporate
Baobab,Microcred Ikorodu,Lagos,South West,INTERNET,8,Disconnected,Corporate
Baobab,Microcred Ikotun,Lagos,South West,INTERNET,8,Disconnected,Corporate
Baobab,Microcred Ota,Lagos,South West,INTERNET,8,Active,Corporate
Baobab,Baobab Suleja,Niger,North Central,INTERNET,8,Active,Corporate
Baobab,Baobab Bodija Ibadan,Oyo,South West,INTERNET,8,Disconnected,Corporate
Baobab,Baobab Lafia,Nassarawa,North Central,INTERNET,8,Active,Corporate
Belanova Industries,Belanova Industries VI,Lagos,South West,INTERNET,7,Disconnected,Corporate
BHN Logistics,BHN Logistics PH,Rivers,South South,INTERNET,50,Active,Corporate
Bingate TECH,Bingate Tech Asaba,Delta,South South,INTERNET,2,Active,Corporate
Biswal,Biswal Enugu,Enugu,South East,INTERNET,10,Disconnected,Corporate
Biswal,Biswal Kano,Kano,North West,INTERNET,10,Disconnected,Corporate
Biswal,Biswal Odo-ona Ekwe,Oyo,South West,INTERNET,20,Disconnected,Corporate
Biswal Gas,Biswal Gas Obadore,Lagos,South West,INTERNET,10,Disconnected,Corporate
BlueFox,Bluefox Aba,Abia,South East,INTERNET,5,Active,Corporate
Bluefox,Bluefox Apapa,Lagos,South West,INTERNET,10,Active,Corporate
Bluefox,Bluefox Ajao Estate,Lagos,South West,INTERNET,10,Active,Corporate
BlueFox,Bluefox - Grandvenice PH,Rivers,South South,INTERNET,2,Active,Corporate
C24 Limited,C24 Ikeja,Lagos,South West,INTERNET,10,Disconnected,Corporate
Caverton,Caverton VI ,Lagos,South West,INTERNET,5,Active,Corporate
Caverton,Caverrton Naval base Ph,Rivers,South South,INTERNET,13,Active,Corporate
Caverton,Caverton Training Centre,Lagos,South West,INTERNET,5,Active,Corporate
Caverton,"Caverton Murtala Mohammed Airport,Ikeja,Lagos.",Lagos,South West,INTERNET,10,Active,Corporate
Caverton Agip,Caverton Agip PH,Rivers,South South,INTERNET,4,Active,Corporate
Caverton Residence,Caverton Lagos,Lagos,South West,INTERNET,4,Active,Corporate
Caverton Shell PH,Caverton Shell PH,Rivers,South South,INTERNET,2,Active,Corporate
